date,shift,feed_fe_pct,feed_sio2_pct,feed_al2o3_pct,feed_loi_pct,minus_10micron_pct,minus_45micron_pct,minus_150micron_pct,concentrate_fe_pct,concentrate_sio2_pct
2025-11-21,C,54.77062937062937,10.61,4.62,4.45,11.21581641685273,47.53245379142628,94.0,62.86923076923078,4.91
2025-11-22,A,55.47972027972029,9.48,5.02,4.23,10.17386611738445,43.06113097031814,94.66666666666667,61.80699300699302,5.85
2025-11-22,B,56.1965034965035,8.53,4.23,4.32,10.17386611738445,43.06113097031814,94.66666666666667,60.83496503496504,6.94
2025-11-22,C,55.74615384615386,9.37,4.75,4.24,10.17386611738445,43.06113097031814,94.66666666666667,61.04545454545455,6.51
2025-11-23,A,55.70279720279721,9.67,3.88,4.48,11.76529473723214,48.28748272096632,94.0,61.40769230769232,6.37
2025-11-23,B,55.47762237762238,9.47,4.2,4.7,11.76529473723214,48.28748272096632,94.0,60.84055944055945,7.2
2025-11-23,C,54.50000000000001,9.29,5.38,5.2,11.76529473723214,48.28748272096632,94.0,62.02447552447553,5.57
2025-11-24,A,54.13286713286714,11.3,4.69,4.63,9.293776466937897,45.52620340135392,96.0,60.75104895104896,6.85
2025-11-24,B,55.15314685314686,10.92,4.25,4.14,9.293776466937897,45.52620340135392,96.0,62.15734265734266,5.96
2025-11-24,C,56.17272727272727,10.43,3.96,3.66,9.293776466937897,45.52620340135392,96.0,61.53566433566434,6.12
2025-11-25,A,55.92797202797203,9.6,4.56,4.28,9.748509124127063,41.24481819899167,96.0,62.60909090909092,5.22
2025-11-25,B,55.32027972027973,9.64,3.72,4.77,9.748509124127063,41.24481819899167,96.0,61.55314685314686,5.88
2025-11-25,C,56.47762237762238,8.2,3.67,4.84,9.748509124127063,41.24481819899167,96.0,60.97412587412588,6.86
2025-11-26,A,55.91188811188812,10.21,3.77,4.18,11.23056994883832,46.08616592031845,93.33333333333333,62.5853146853147,5.45
2025-11-26,B,54.68671328671329,10.34,4.7,4.56,11.23056994883832,46.08616592031845,93.33333333333333,62.40349650349651,5.31
2025-11-26,C,55.35524475524476,10.06,4.2,4.29,11.23056994883832,46.08616592031845,93.33333333333333,62.4958041958042,5.37
2025-11-27,A,54.01048951048952,11.47,5.03,4.3,10.00133190671126,44.90649079977032,96.0,62.55664335664336,5.19
